"What is the process to accept or decline an order on GeM?
","Once the buyer places an order on GeM, you as a seller get a notification either through email or on your GeM dashboard. Follow these steps to accept or decline the order:

1. Log in to your seller account on the GeM portal.

2. From the dashboard, click on ""Orders"" to see the list of all the orders placed for your products.

3. Here, each order line will have the options to ""Accept/Reject"".

4. Click on ""Accept"" if you want to proceed with the order. After accepting, you need to process the order by providing the packaging and shipment details.

5. If you want to decline the order for any reason, click on ""Reject"". You're required to provide a valid reason for declining an order.

Remember, it is important to either accept or reject the order within the specified timeframe in the order notification. Ignoring, failing, or forgetting to do so might impact your seller performance metrics on GeM."
"How do I generate an invoice on GeM after accepting an order?
","Here are the step-by-step instructions to generate an invoice on GeM as a seller:

1. Log in to your Seller dashboard.
2. Go to the ""Orders"" section.
3. Select the order for which you want to generate invoice.
4. Click on ""Accept Order"" if you have not done so.
5. After accepting the order, a ""Generate Invoice"" option will be available.
6. Click on ""Generate Invoice"" and you will be redirected to invoice generator page.
7. Fill in necessary details such as your GST Number, HSN code, item description, quantity, rate, and the amount.
8. After verifying all details, click ""Submit"" to generate your invoice.
9. You can print the generated invoice or save its digital copy for future references and for uploading it on GeM portal.

Please note that these steps can vary slightly depending on any updates by the Government e-Marketplace Portal."
"Where can I view the order details on GeM?
","You can view your order details on the GeM portal through the following steps:

1. Log in to your seller account on the GeM portal.
2. On the dashboard, click on the 'Orders' section. This will open up a list of all orders you have received.
3. To view full detailed information about any specific order, click on the 'View Details' button associated with that order.

You can see the details about the order including the buyer information, product details, order status, and delivery date among other things."
"How do I select the place of supply for billing on GeM?
","The place of supply and other billing-related information on GeM are typically determined based on the details provided during the time of registration. If you want to change the place of supply for billing, you can:

1. Log into your seller account.
2. Go to 'My Profile' and then visit the 'Business Information' tab.
3. From there, you can update the billing address or place of supply.

Please ensure that the updated information complies with the GST laws of India. Always consult a tax professional if you are unsure about these details."
"What do I do if I'm GST registered on GeM?
","As a GST-registered seller on GeM, the next steps involve uploading your products or services. Here’s how you do that:

1. First, log into your GeM Seller account.
2. Choose the product categories for the items you want to sell.
3. Fill in the product details accurately. Make sure your description matches the product/service precisely to avoid any discrepancies.
4. Set a fair and competitive price for your product or service. You can revise this based on demand and competition.
5. Upload clear, high-quality photos of your product if applicable.
6. After providing all necessary details, post the product or service for sale.

Remember, you need to make sure that you follow all laws and rules set by the Government of India and GeM when selling products or services. Also, maintaining updated and accurate information about your product or service will enhance transparency and reliability with your buyers."
"How can I preview the invoice before proceeding on GeM?
","On GeM, once you have completed the invoicing information, there is usually an option to preview the invoice before final submission. However, the specific steps can differ depending on the version or interface of the portal. To find the specific instructions, it is advisable to refer to the seller guidelines or help section on the GeM portal. If you still face any difficulty, you can contact the GeM support for assistance."
"What is the process to verify the invoice using OTP or e-Sign on GeM?
","To verify the invoice using OTP or e-Sign on GeM, follow these steps:

1. First, you need to log into your seller account on GeM.
2. Navigate to 'My Orders' and select the order for which you have to confirm the invoice.
3. Click on the 'Invoice' tab in the order details section.
4. Create the invoice as per the order details.
5. Once you've properly filled in all the invoice details, choose either the OTP or e-Sign option to verify the invoice.
6. If you select OTP, an OTP will be sent to your registered mobile number. Enter the OTP in the given field to verify the invoice.
7. If you choose e-Sign, you would need to authenticate with your digital signature certificate (DSC).
8. The authenticated invoice will be registered in the system and sent to the buyer.

Please note that these steps may vary slightly based on your specific situation or any changes in the GeM system interface. Always refer to the latest guidelines provided on the GeM portal for the most accurate information."
"How do I register for e-Mudra e-Sign to perform e-Sign on GeM?
","To register for e-Mudhra e-Sign to perform e-Sign on GeM, follow these steps:

1. First, you need to visit the official website of e-Mudhra. Follow the registration process online. 

2. You will be required to fill in all your personal and business details accurately.

3. Once you've completed the form filling stage, you need to upload all the necessary documents required for verification.

4. The documentation includes but is not limited to your Aadhaar Card, PAN Card, Business Registration Certificate, etc.

5. Post successful upload and submission of your details, e-Mudhra will process your application.

6. You will receive an OTP for the verification of your Mobile Number and Email ID. After successful verification, your application process is deemed to be complete.

7. e-Mudhra then conducts your KYC and other mandatory checks.

8. Upon successful completion of all validations, your e-Sign will be activated.

Please note that you need to use this e-Sign while registering as a seller on the GeM portal. If you have any other queries, feel free to ask."
"Where can I view and download the final invoice after e-Sign verification?
","After successfully completing the e-Sign verification, you can view and download the final invoice by following these steps:

1. Log in to your GeM account.
2. Go to ""My Orders"" section.
3. From there, select the specific order for which you want to download the invoice.
4. In the order details page, you'll find an option to view and download invoice.
5. Click on that to download your final invoice in PDF format.

Please note that these steps may vary slightly depending on your GeM user interface."
"How can I generate and download the dispatch slip on GeM?
","To generate and download the dispatch slip on GeM, you need to follow these steps:

1. Login to your GeM Seller account.

2. Go to the ""My Orders"" section where you can see all your orders.

3. Choose the order for which you want to generate the dispatch slip and click on it.

4. Once the order details are open, you'll see an option to ""Generate Dispatch Slip"". Click on this option.

5. Fill in the required fields including details of the item, quantity, dispatch location, and other relevant information.

6. Once all the required details are filled, click on ""Save"" to generate the dispatch slip.

7. After the dispatch slip is generated, you will see an option to download the slip. Click on ""Download"" to download the dispatch slip.

Please ensure that all the entered information is correct.
Ensure to follow these steps for each consignment individually if there are multiple consignments in an order."
